"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Sex","Ratio"
"194",12,"Tube",5,6.29513633,1.5899042,7,"M",0.793103448275862
"195",12,"Tube",5,6.092483419,1.578850405,7,"M",0.793103448275862
"196",12,"Tube",5,5.788504053,1.717022845,7,"F",0.793103448275862
"197",12,"Tube",5,5.683492999,1.62736367,7,"M",0.793103448275862
"198",12,"Tube",5,4.568288504,1.60525608,8,"M",0.793103448275862
"199",12,"Tube",7,3.623323398,0.698584203,1,"M",0.818181818181818
"200",12,"Tube",7,3.129657228,1.732488823,2,"M",0.818181818181818
"201",12,"Tube",7,2.431073025,1.467958271,2,"M",0.818181818181818
"202",12,"Tube",7,2.468330849,1.602086438,2,"M",0.818181818181818
"203",12,"Tube",7,2.274590164,1.795827124,2,"M",0.818181818181818
"204",12,"Tube",7,1.69709389,1.531296572,3,"M",0.818181818181818
"205",12,"Tube",7,1.702682563,1.676602086,3,"M",0.818181818181818
"206",12,"Tube",7,1.779061103,2.492548435,3,"M",0.818181818181818
"207",12,"Tube",7,1.467958271,3.026266766,4,"M",0.818181818181818
"208",12,"Tube",7,1.663561848,3.177160954,4,"M",0.818181818181818
"209",12,"Tube",7,1.757637854,3.237704918,4,"M",0.818181818181818
"210",12,"Tube",7,1.576005961,3.393256334,4,"M",0.818181818181818
"211",12,"Tube",7,2.755836438,3.392945231,4,"M",0.818181818181818
"212",12,"Tube",7,3.845007452,3.446348733,5,"M",0.818181818181818
"213",12,"Tube",7,4.04247392,3.103576751,5,"F",0.818181818181818
"214",12,"Tube",7,3.85494225,3.269994411,5,"M",0.818181818181818
"215",12,"Tube",7,4.294584575,3.227770119,5,"M",0.818181818181818
"216",12,"Tube",7,4.226279806,3.410333458,5,"F",0.818181818181818
"217",12,"Tube",7,4.664679583,3.461251863,6,"M",0.818181818181818
"218",12,"Tube",7,4.476527571,3.30942623,5,"M",0.818181818181818
"219",12,"Tube",7,4.458830104,3.188338301,5,"M",0.818181818181818
"220",12,"Tube",7,4.680514158,3.11661699,6,"M",0.818181818181818
"221",12,"Tube",7,4.603204173,3.233979136,6,"M",0.818181818181818
"222",12,"Tube",7,4.743852459,3.36438152,6,"F",0.818181818181818
"223",12,"Tube",7,5.137853949,3.19485842,6,"M",0.818181818181818
"224",12,"Tube",7,5.320417288,3.316877794,6,"F",0.818181818181818
"225",12,"Tube",7,5.448956781,3.376490313,6,"M",0.818181818181818
"226",12,"Tube",7,5.607302534,3.414679583,6,"M",0.818181818181818
"227",12,"Tube",7,5.763785395,3.245776826,6,"M",0.818181818181818
"228",12,"Tube",7,6.223919523,2.786264903,7,"F",0.818181818181818
"229",12,"Tube",7,6.127980626,2.378912072,7,"M",0.818181818181818
"230",12,"Tube",7,5.650149031,1.421385991,8,"F",0.818181818181818
"231",12,"Tube",7,5.555761923,1.618852459,8,"M",0.818181818181818
"232",12,"Tube",7,5.273845007,1.477272727,8,"F",0.818181818181818
"233",12,"Tube",8,3.687702855,1.510768219,1,"M",0.833333333333333
"234",12,"Tube",8,2.833709617,1.508264463,2,"M",0.833333333333333
"235",12,"Tube",8,2.638367769,1.703606311,2,"M",0.833333333333333
"236",12,"Tube",8,2.426746807,1.527047333,2,"F",0.833333333333333
"237",12,"Tube",8,2.114951165,1.671675432,2,"M",0.833333333333333
"238",12,"Tube",8,1.987227648,1.607813674,2,"M",0.833333333333333
"239",12,"Tube",8,1.631605935,1.681692337,3,"M",0.833333333333333
"240",12,"Tube",8,1.606560856,1.862007889,3,"M",0.833333333333333
"241",12,"Tube",8,1.476333584,1.937139369,3,"M",0.833333333333333
"242",12,"Tube",8,1.408715252,1.714250563,3,"M",0.833333333333333
"243",12,"Tube",8,1.606560856,2.645880917,3,"M",0.833333333333333
"244",12,"Tube",8,1.646632231,2.796143877,3,"M",0.833333333333333
"245",12,"Tube",8,1.704231781,2.936388054,3,"?",0.833333333333333
"246",12,"Tube",8,3.219383922,3.089782119,5,"M",0.833333333333333
"247",12,"Tube",8,3.50864012,3.258827949,5,"M",0.833333333333333
"248",12,"Tube",8,3.726521412,3.146130729,5,"M",0.833333333333333
"249",12,"Tube",8,4.228024042,3.166791886,5,"M",0.833333333333333
"250",12,"Tube",8,4.325694966,3.18933133,5,"M",0.833333333333333
"251",12,"Tube",8,4.145379414,3.155522164,5,"M",0.833333333333333
"252",12,"Tube",8,4.483471074,3.266341097,5,"M",0.833333333333333
"253",12,"Tube",8,4.622464313,3.347107438,6,"M",0.833333333333333
"254",12,"Tube",8,4.911720511,3.178061608,6,"F",0.833333333333333
"255",12,"Tube",8,6.157024793,3.260706236,6,"M",0.833333333333333
"256",12,"Tube",8,6.072501878,2.806160781,7,"F",0.833333333333333
"257",12,"Tube",8,6.339218633,2.723516153,7,"F",0.833333333333333
"258",12,"Tube",8,6.239669421,2.511269722,7,"M",0.833333333333333
"259",12,"Tube",8,6.228399699,2.227648385,7,"?",0.833333333333333
"260",12,"Tube",8,6.164537941,1.863260706,7,"M",0.833333333333333
"261",12,"Tube",8,6.059353869,1.897069872,7,"M",0.833333333333333
"262",12,"Tube",8,5.929752066,1.769346356,7,"M",0.833333333333333
"263",12,"Tube",8,6.006761833,1.681066867,7,"M",0.833333333333333
"264",12,"Tube",8,6.068745304,1.669797145,7,"M",0.833333333333333
"265",12,"Tube",8,6.188955672,1.718632607,7,"M",0.833333333333333
"266",12,"Tube",8,6.337340346,1.536438768,7,"M",0.833333333333333
