"","Colony","Nest","Day","ScaledX","ScaledY","Density","Corner","Bin","ToBrood"
"301",13,"Circle",12,4.017241379,1.302681992,"Low","N",7,0.090621492360199
"302",14,"Circle",3,2.951517395,2.938564027,"Low","N",7,0.0603511193209678
"303",14,"Circle",5,2.502443778,2.247005684,"Low","N",5,0.0812154661724045
"304",14,"Circle",7,5.081300813,0.975609756,"Low","N",2,0.118274438776831
"305",14,"Circle",8,3.870988465,0.290373906,"Low","Y",1,0.205870375202876
"306",14,"Circle",10,3.707750277,2.770463178,"Low","N",6,0.0477433969461226
"307",14,"Circle",11,4.032278912,3.139921969,"Low","N",7,0.0854041866265434
"308",14,"Circle",12,3.470119522,2.813412351,"Low","N",7,0.147122088879696
"309",14,"Circle",13,4.495804485,1.340151456,"Low","N",3,0.155369697477867
"310",15,"Circle",1,4.00621118,1.36257764,"Low","N",3,0.0371101232951065
"311",15,"Circle",2,4.215456674,1.276346604,"Low","N",3,0.0415742799741141
"312",15,"Circle",3,3.176402767,3.380092237,"Low","N",8,0.104017105789002
"313",15,"Circle",4,2.346353516,1.766927734,"Low","N",4,0.133443202451516
"314",15,"Circle",5,4.375805019,1.245173745,"Low","N",2,0.0123631122369083
"315",15,"Circle",6,3.469850543,1.215062112,"Low","N",2,0.125193523555368
"316",15,"Circle",7,4.422032583,3.149728472,"Low","N",7,0.0513602305749717
"317",15,"Circle",12,4.310556465,1.037915303,"Low","N",2,0.0362622457584764
"318",15,"Circle",14,5.024026935,1.100151745,"Low","N",2,0.0685865796267812
"319",15,"Circle",15,4.866666667,1.180864815,"Low","N",2,0.0540707384387758
"320",16,"Circle",5,3.777510064,0.995706522,"Low","N",6,0.0546759846245352
"321",16,"Circle",5,3.800322061,1.111111111,"Low","N",7,0.0805246980529033
"322",16,"Circle",6,3.774284893,0.853782592,"Low","N",5,0.0594444691951477
"323",16,"Circle",6,3.540389187,1.064672163,"Low","N",6,0.0390567044256053
"324",16,"Circle",7,3.600898693,0.759803922,"Low","N",4,0.0315007451007832
"325",16,"Circle",7,3.676470588,0.949754902,"Low","N",6,0.0291283621026446
"326",16,"Circle",8,3.533380682,0.692471591,"Low","N",3,0.112626128925809
"327",16,"Circle",8,3.568892045,0.810842803,"Low","N",4,0.135660418497193
"328",16,"Circle",9,3.670353982,1.115044248,"Low","N",7,0.0602705592249364
"329",16,"Circle",9,3.460176991,1.07079646,"Low","N",7,0.0396299095549631
"330",16,"Circle",10,3.606770833,0.878183594,"Low","N",5,0.0268400477122614
"331",16,"Circle",10,3.334780816,0.896990017,"Low","N",5,0.0614208873111588
"332",16,"Circle",11,4.012567325,1.014362657,"Low","N",6,0.0455499559370274
