"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","WorkerType","Corner"
1,"Tube",5,2.842198582,1.771276596,2,0.197831651398226,"High","Worker","N"
1,"Tube",5,3.131205674,1.739361702,2,0.174654286922564,"High","Worker","N"
1,"Tube",5,5.440898936,3.096927305,6,0.70496790511076,"High","Worker","Y"
1,"Tube",5,1.973994681,2.35106383,3,0.322383405665336,"High","Worker","Y"
1,"Tube",5,4.920803191,3.12175,6,0.657138491513372,"High","Worker","Y"
1,"Tube",6,1.672077922,2.909453463,4,0.377452725289648,"High","Worker","Y"
1,"Tube",6,4.787159091,3.059161255,6,0.644547276357892,"High","Worker","Y"
1,"Tube",6,5.191201299,1.715367965,8,0.982018739267116,"High","Worker","N"
1,"Tube",6,4.262267316,3.151152597,5,0.596705268306708,"High","Worker","N"
1,"Tube",6,2.141055195,3.055557359,4,0.402650521974917,"High","Worker","Y"
1,"Tube",6,5.088387446,3.152959957,6,0.672749141426991,"High","Worker","Y"
1,"Tube",6,3.026699134,3.228717532,4,0.48512165442761,"High","Worker","Y"
1,"Tube",6,1.688311688,2.128425325,3,0.314105111937526,"High","Worker","Y"
1,"Tube",6,2.159090909,1.504329004,2,0.251064945848812,"High","Worker","N"
1,"Tube",6,3.150254329,1.707251082,2,0.171349619648339,"High","Worker","N"
1,"Tube",6,3.39646645,1.682900433,2,0.156026663092714,"High","Worker","N"
1,"Tube",6,2.532467532,3.046536797,4,0.436980784589912,"High","Worker","Y"
1,"Tube",6,1.711764069,2.678571429,3,0.356890685448645,"High","Worker","Y"
1,"Tube",6,6.280665584,2.676769481,7,0.81247260220015,"High","Worker","Y"
1,"Tube",6,3.19625,1.628787879,2,0.163414554571641,"High","Worker","N"
1,"Tube",6,6.197694805,3.306277056,6,0.775887446703678,"High","Worker","Y"
1,"Tube",6,1.904761905,2.483766234,3,0.335180476765886,"High","Worker","Y"
1,"Tube",6,6.394301948,2.467532468,7,0.834325666681001,"High","Worker","Y"
1,"Tube",6,6.489902597,3.145741342,6,0.801878832936823,"High","Worker","Y"
1,"Tube",6,2.963566017,1.661255411,2,0.183083335696869,"High","Worker","N"
1,"Tube",6,3.208874459,3.017678571,5,0.498864674582754,"High","Worker","N"
1,"Tube",6,3.636363636,3.268398268,5,0.540866266648495,"High","Worker","N"
1,"Tube",6,3.124101732,1.408728355,2,0.161580879623042,"High","Worker","N"
1,"Tube",6,2.308804113,1.749188312,2,0.242154871945914,"High","Worker","N"
1,"Tube",6,6.599929654,2.328641775,7,0.85482251995923,"High","Worker","Y"
1,"Tube",6,2.584778139,1.696428571,2,0.216464241004442,"High","Worker","N"
1,"Tube",6,3.425324675,1.783912338,2,0.164033548164992,"High","Worker","N"
1,"Tube",6,2.404404762,3.272007576,4,0.433937785047463,"High","Worker","Y"
1,"Tube",6,3.376623377,3.069983766,5,0.514633419303596,"High","Worker","N"
1,"Tube",6,6.630595238,2.824675325,7,0.828667172034993,"High","Worker","Y"
1,"Tube",6,1.78030303,2.312408009,3,0.323105175160578,"High","Worker","Y"
1,"Tube",6,2.387267316,1.684253247,2,0.233490226552135,"High","Worker","N"
1,"Tube",6,5.784632035,3.259377706,6,0.737542273955637,"High","Worker","Y"
1,"Tube",6,6.291488095,2.564935065,7,0.822587132529427,"High","Worker","Y"
1,"Tube",6,6.45202381,3.023089827,6,0.798057870497547,"High","Worker","Y"
1,"Tube",6,1.870492424,2.878787879,4,0.371418282120116,"High","Worker","Y"
1,"Tube",6,5.58982684,1.83982684,8,0.944322796194,"High","Worker","N"
1,"Tube",6,1.659453463,2.453100649,3,0.339724368789841,"High","Worker","Y"
1,"Tube",6,5.952380952,3.075395022,6,0.752069584355599,"High","Worker","Y"
1,"Tube",6,1.681098485,1.901152597,3,0.304798838092055,"High","Worker","Y"
1,"Tube",6,2.602813853,3.268398268,4,0.449523436393876,"High","Worker","Y"
1,"Tube",6,3.519123377,3.304475108,5,0.530941581308191,"High","Worker","N"
1,"Tube",6,4.493149351,3.281022727,5,0.619175498665347,"High","Worker","N"
1,"Tube",6,1.827202381,2.456709957,3,0.33418429899959,"High","Worker","Y"
1,"Tube",6,5.524891775,3.16017316,6,0.712998344180241,"High","Worker","Y"
1,"Tube",6,2.86616342,1.764069264,2,0.19559414253319,"High","Worker","N"
1,"Tube",6,2.187954545,1.417748918,2,0.247807297299616,"High","Worker","N"
1,"Tube",6,1.695530303,1.524172078,3,0.293819752319928,"High","Worker","Y"
1,"Tube",6,3.96284632,3.055557359,5,0.568532689071567,"High","Worker","N"
1,"Tube",6,1.673885281,1.755048701,3,0.298992263160383,"High","Worker","Y"
1,"Tube",6,1.731601732,1.819983766,3,0.295175699933173,"High","Worker","Y"
1,"Tube",6,1.801948052,1.471861472,3,0.283652478920919,"High","Worker","Y"
1,"Tube",6,1.818181818,1.626985931,3,0.283742903405429,"High","Worker","Y"
1,"Tube",6,1.834415584,1.574675325,3,0.28158040724172,"High","Worker","Y"
1,"Tube",6,1.881314935,2.970779221,4,0.379800530235811,"High","Worker","Y"
1,"Tube",6,1.930016234,1.563852814,3,0.272702479994438,"High","Worker","Y"
1,"Tube",6,1.94625,1.836217532,3,0.276491683246676,"High","Worker","Y"
