"","Colony","Day","Nest","Bin","PropBrood","Density","Corner"
"369",3,9,"Tube",1,0.0969387755102041,"High","Y"
"370",3,9,"Tube",2,0.311224489795918,"High","N"
"371",3,9,"Tube",3,0.219387755102041,"High","Y"
"372",3,9,"Tube",4,0.26530612244898,"High","Y"
"373",3,9,"Tube",5,0.0357142857142857,"High","N"
"374",3,9,"Tube",6,0.0510204081632653,"High","Y"
"375",3,9,"Tube",7,0.0153061224489796,"High","Y"
"376",3,9,"Tube",8,0.00510204081632653,"High","N"
"377",3,12,"Tube",1,0.0833333333333333,"High","Y"
"378",3,12,"Tube",2,0.333333333333333,"High","N"
"379",3,12,"Tube",3,0.215686274509804,"High","Y"
"380",3,12,"Tube",4,0.245098039215686,"High","Y"
"381",3,12,"Tube",5,0.0343137254901961,"High","N"
"382",3,12,"Tube",6,0.0735294117647059,"High","Y"
"383",3,12,"Tube",7,0.00980392156862745,"High","Y"
"384",3,12,"Tube",8,0.00490196078431373,"High","N"
"385",3,6,"Tube",1,0.0869565217391304,"High","Y"
"386",3,6,"Tube",2,0.298913043478261,"High","N"
"387",3,6,"Tube",3,0.228260869565217,"High","Y"
"388",3,6,"Tube",4,0.315217391304348,"High","Y"
"389",3,6,"Tube",5,0.0380434782608696,"High","N"
"390",3,6,"Tube",6,0.0108695652173913,"High","Y"
"391",3,6,"Tube",7,0.016304347826087,"High","Y"
"392",3,6,"Tube",8,0.00543478260869565,"High","N"
"393",3,8,"Tube",1,0.154205607476636,"High","Y"
"394",3,8,"Tube",2,0.285046728971963,"High","N"
"395",3,8,"Tube",3,0.191588785046729,"High","Y"
"396",3,8,"Tube",4,0.275700934579439,"High","Y"
"397",3,8,"Tube",5,0.0420560747663551,"High","N"
"398",3,8,"Tube",6,0.0327102803738318,"High","Y"
"399",3,8,"Tube",7,0.014018691588785,"High","Y"
"400",3,8,"Tube",8,0.00467289719626168,"High","N"
"401",3,13,"Circle",1,0,"High","Y"
"402",3,13,"Circle",2,0,"High","N"
"403",3,13,"Circle",3,0.0216450216450216,"High","N"
"404",3,13,"Circle",4,0.0909090909090909,"High","N"
"405",3,13,"Circle",5,0.155844155844156,"High","N"
"406",3,13,"Circle",6,0.173160173160173,"High","N"
"407",3,13,"Circle",7,0.298701298701299,"High","N"
"408",3,13,"Circle",8,0.25974025974026,"High","N"
"409",3,12,"Circle",1,0,"High","Y"
"410",3,12,"Circle",2,0,"High","N"
"411",3,12,"Circle",3,0.00416666666666667,"High","N"
"412",3,12,"Circle",4,0.075,"High","N"
"413",3,12,"Circle",5,0.1375,"High","N"
"414",3,12,"Circle",6,0.204166666666667,"High","N"
"415",3,12,"Circle",7,0.308333333333333,"High","N"
"416",3,12,"Circle",8,0.270833333333333,"High","N"
"417",3,9,"Circle",1,0,"High","Y"
"418",3,9,"Circle",2,0,"High","N"
"419",3,9,"Circle",3,0.00904977375565611,"High","N"
"420",3,9,"Circle",4,0.0633484162895928,"High","N"
"421",3,9,"Circle",5,0.126696832579186,"High","N"
"422",3,9,"Circle",6,0.212669683257919,"High","N"
"423",3,9,"Circle",7,0.312217194570136,"High","N"
"424",3,9,"Circle",8,0.276018099547511,"High","N"
"425",3,6,"Circle",1,0,"High","Y"
"426",3,6,"Circle",2,0,"High","N"
"427",3,6,"Circle",3,0.00480769230769231,"High","N"
"428",3,6,"Circle",4,0.0192307692307692,"High","N"
"429",3,6,"Circle",5,0.134615384615385,"High","N"
"430",3,6,"Circle",6,0.173076923076923,"High","N"
"431",3,6,"Circle",7,0.307692307692308,"High","N"
"432",3,6,"Circle",8,0.360576923076923,"High","N"
"433",3,7,"Circle",1,0,"High","Y"
"434",3,7,"Circle",2,0,"High","N"
"435",3,7,"Circle",3,0.00796812749003984,"High","N"
"436",3,7,"Circle",4,0.051792828685259,"High","N"
"437",3,7,"Circle",5,0.119521912350598,"High","N"
"438",3,7,"Circle",6,0.155378486055777,"High","N"
"439",3,7,"Circle",7,0.366533864541833,"High","N"
"440",3,7,"Circle",8,0.298804780876494,"High","N"
"441",3,8,"Circle",1,0,"High","Y"
"442",3,8,"Circle",2,0,"High","N"
"443",3,8,"Circle",3,0.00442477876106195,"High","N"
"444",3,8,"Circle",4,0.0309734513274336,"High","N"
"445",3,8,"Circle",5,0.115044247787611,"High","N"
"446",3,8,"Circle",6,0.20353982300885,"High","N"
"447",3,8,"Circle",7,0.327433628318584,"High","N"
"448",3,8,"Circle",8,0.31858407079646,"High","N"
"449",3,11,"Circle",1,0,"High","Y"
"450",3,11,"Circle",2,0,"High","N"
"451",3,11,"Circle",3,0,"High","N"
"452",3,11,"Circle",4,0.0756302521008403,"High","N"
"453",3,11,"Circle",5,0.138655462184874,"High","N"
"454",3,11,"Circle",6,0.235294117647059,"High","N"
"455",3,11,"Circle",7,0.281512605042017,"High","N"
"456",3,11,"Circle",8,0.26890756302521,"High","N"
"457",3,10,"Circle",1,0,"High","Y"
"458",3,10,"Circle",2,0,"High","N"
"459",3,10,"Circle",3,0,"High","N"
"460",3,10,"Circle",4,0.0714285714285714,"High","N"
"461",3,10,"Circle",5,0.0840336134453782,"High","N"
"462",3,10,"Circle",6,0.218487394957983,"High","N"
"463",3,10,"Circle",7,0.323529411764706,"High","N"
"464",3,10,"Circle",8,0.302521008403361,"High","N"
"465",3,4,"Circle",1,0,"High","Y"
"466",3,4,"Circle",2,0,"High","N"
"467",3,4,"Circle",3,0,"High","N"
"468",3,4,"Circle",4,0.0220264317180617,"High","N"
"469",3,4,"Circle",5,0.136563876651982,"High","N"
"470",3,4,"Circle",6,0.180616740088106,"High","N"
"471",3,4,"Circle",7,0.348017621145374,"High","N"
"472",3,4,"Circle",8,0.312775330396476,"High","N"
"473",3,5,"Circle",1,0,"High","Y"
"474",3,5,"Circle",2,0,"High","N"
"475",3,5,"Circle",3,0,"High","N"
"476",3,5,"Circle",4,0,"High","N"
"477",3,5,"Circle",5,0.0217391304347826,"High","N"
"478",3,5,"Circle",6,0.2,"High","N"
"479",3,5,"Circle",7,0.221739130434783,"High","N"
"480",3,5,"Circle",8,0.556521739130435,"High","N"
"481",4,10,"Tube",1,0.161073825503356,"High","Y"
"482",4,10,"Tube",2,0.208053691275168,"High","N"
"483",4,10,"Tube",3,0.241610738255034,"High","Y"
"484",4,10,"Tube",4,0.248322147651007,"High","Y"
"485",4,10,"Tube",5,0.12751677852349,"High","N"
"486",4,10,"Tube",6,0.0134228187919463,"High","Y"
"487",4,10,"Tube",7,0,"High","Y"
"488",4,10,"Tube",8,0,"High","N"
"489",4,8,"Tube",1,0.151515151515152,"High","Y"
"490",4,8,"Tube",2,0.296969696969697,"High","N"
"491",4,8,"Tube",3,0.23030303030303,"High","Y"
"492",4,8,"Tube",4,0.206060606060606,"High","Y"
"493",4,8,"Tube",5,0.0787878787878788,"High","N"
"494",4,8,"Tube",6,0.0363636363636364,"High","Y"
"495",4,8,"Tube",7,0,"High","Y"
"496",4,8,"Tube",8,0,"High","N"
"497",4,9,"Tube",1,0.162650602409639,"High","Y"
"498",4,9,"Tube",2,0.265060240963855,"High","N"
"499",4,9,"Tube",3,0.240963855421687,"High","Y"
"500",4,9,"Tube",4,0.204819277108434,"High","Y"
"501",4,9,"Tube",5,0.0963855421686747,"High","N"
