"Colony","Day","Nest","Bin","PropBrood","Density","Corner"
3,11,"Circle",7,0.281512605042017,"High","N"
3,11,"Circle",8,0.26890756302521,"High","N"
3,10,"Circle",1,0,"High","Y"
3,10,"Circle",2,0,"High","N"
3,10,"Circle",3,0,"High","N"
3,10,"Circle",4,0.0714285714285714,"High","N"
3,10,"Circle",5,0.0840336134453782,"High","N"
3,10,"Circle",6,0.218487394957983,"High","N"
3,10,"Circle",7,0.323529411764706,"High","N"
3,10,"Circle",8,0.302521008403361,"High","N"
3,4,"Circle",1,0,"High","Y"
3,4,"Circle",2,0,"High","N"
3,4,"Circle",3,0,"High","N"
3,4,"Circle",4,0.0220264317180617,"High","N"
3,4,"Circle",5,0.136563876651982,"High","N"
3,4,"Circle",6,0.180616740088106,"High","N"
3,4,"Circle",7,0.348017621145374,"High","N"
3,4,"Circle",8,0.312775330396476,"High","N"
3,5,"Circle",1,0,"High","Y"
3,5,"Circle",2,0,"High","N"
3,5,"Circle",3,0,"High","N"
3,5,"Circle",4,0,"High","N"
3,5,"Circle",5,0.0217391304347826,"High","N"
3,5,"Circle",6,0.2,"High","N"
3,5,"Circle",7,0.221739130434783,"High","N"
3,5,"Circle",8,0.556521739130435,"High","N"
4,10,"Tube",1,0.161073825503356,"High","Y"
4,10,"Tube",2,0.208053691275168,"High","N"
4,10,"Tube",3,0.241610738255034,"High","Y"
4,10,"Tube",4,0.248322147651007,"High","Y"
4,10,"Tube",5,0.12751677852349,"High","N"
4,10,"Tube",6,0.0134228187919463,"High","Y"
4,10,"Tube",7,0,"High","Y"
4,10,"Tube",8,0,"High","N"
4,8,"Tube",1,0.151515151515152,"High","Y"
4,8,"Tube",2,0.296969696969697,"High","N"
4,8,"Tube",3,0.23030303030303,"High","Y"
4,8,"Tube",4,0.206060606060606,"High","Y"
4,8,"Tube",5,0.0787878787878788,"High","N"
4,8,"Tube",6,0.0363636363636364,"High","Y"
4,8,"Tube",7,0,"High","Y"
4,8,"Tube",8,0,"High","N"
4,9,"Tube",1,0.162650602409639,"High","Y"
4,9,"Tube",2,0.265060240963855,"High","N"
4,9,"Tube",3,0.240963855421687,"High","Y"
4,9,"Tube",4,0.204819277108434,"High","Y"
4,9,"Tube",5,0.0963855421686747,"High","N"
4,9,"Tube",6,0.0301204819277108,"High","Y"
4,9,"Tube",7,0,"High","Y"
4,9,"Tube",8,0,"High","N"
4,12,"Tube",1,0.109489051094891,"High","Y"
4,12,"Tube",2,0.175182481751825,"High","N"
4,12,"Tube",3,0.197080291970803,"High","Y"
4,12,"Tube",4,0.321167883211679,"High","Y"
4,12,"Tube",5,0.145985401459854,"High","N"
4,12,"Tube",6,0.0510948905109489,"High","Y"
4,12,"Tube",7,0,"High","Y"
4,12,"Tube",8,0,"High","N"
4,5,"Tube",1,0.233128834355828,"High","Y"
4,5,"Tube",2,0.325153374233129,"High","N"
4,5,"Tube",3,0.208588957055215,"High","Y"
4,5,"Tube",4,0.171779141104294,"High","Y"
4,5,"Tube",5,0.0429447852760736,"High","N"
4,5,"Tube",6,0.0184049079754601,"High","Y"
4,5,"Tube",7,0,"High","Y"
4,5,"Tube",8,0,"High","N"
4,4,"Tube",1,0.292857142857143,"High","Y"
4,4,"Tube",2,0.25,"High","N"
4,4,"Tube",3,0.178571428571429,"High","Y"
4,4,"Tube",4,0.2,"High","Y"
4,4,"Tube",5,0.0714285714285714,"High","N"
4,4,"Tube",6,0.00714285714285714,"High","Y"
4,4,"Tube",7,0,"High","Y"
4,4,"Tube",8,0,"High","N"
4,6,"Tube",1,0.13125,"High","Y"
4,6,"Tube",2,0.36875,"High","N"
4,6,"Tube",3,0.2,"High","Y"
4,6,"Tube",4,0.2,"High","Y"
4,6,"Tube",5,0.0875,"High","N"
4,6,"Tube",6,0.0125,"High","Y"
4,6,"Tube",7,0,"High","Y"
4,6,"Tube",8,0,"High","N"
4,11,"Tube",1,0.127272727272727,"High","Y"
4,11,"Tube",2,0.2,"High","N"
4,11,"Tube",3,0.23030303030303,"High","Y"
4,11,"Tube",4,0.278787878787879,"High","Y"
4,11,"Tube",5,0.139393939393939,"High","N"
4,11,"Tube",6,0.0242424242424242,"High","Y"
4,11,"Tube",7,0,"High","Y"
4,11,"Tube",8,0,"High","N"
4,7,"Tube",1,0.13953488372093,"High","Y"
4,7,"Tube",2,0.372093023255814,"High","N"
4,7,"Tube",3,0.162790697674419,"High","Y"
4,7,"Tube",4,0.226744186046512,"High","Y"
4,7,"Tube",5,0.0872093023255814,"High","N"
4,7,"Tube",6,0.0116279069767442,"High","Y"
4,7,"Tube",7,0,"High","Y"
4,7,"Tube",8,0,"High","N"
4,13,"Tube",1,0.135294117647059,"High","Y"
4,13,"Tube",2,0.164705882352941,"High","N"
4,13,"Tube",3,0.158823529411765,"High","Y"
4,13,"Tube",4,0.294117647058824,"High","Y"
4,13,"Tube",5,0.152941176470588,"High","N"
4,13,"Tube",6,0.0941176470588235,"High","Y"
4,13,"Tube",7,0,"High","Y"
4,13,"Tube",8,0,"High","N"
4,6,"Circle",1,0,"High","Y"
4,6,"Circle",2,0.0381679389312977,"High","N"
4,6,"Circle",3,0.099236641221374,"High","N"
4,6,"Circle",4,0.083969465648855,"High","N"
4,6,"Circle",5,0.083969465648855,"High","N"
4,6,"Circle",6,0.259541984732824,"High","N"
4,6,"Circle",7,0.282442748091603,"High","N"
4,6,"Circle",8,0.152671755725191,"High","N"
4,7,"Circle",1,0,"High","Y"
4,7,"Circle",2,0.0223880597014925,"High","N"
4,7,"Circle",3,0.0373134328358209,"High","N"
4,7,"Circle",4,0.0895522388059701,"High","N"
4,7,"Circle",5,0.134328358208955,"High","N"
4,7,"Circle",6,0.201492537313433,"High","N"
4,7,"Circle",7,0.380597014925373,"High","N"
4,7,"Circle",8,0.134328358208955,"High","N"
4,8,"Circle",1,0,"High","Y"
4,8,"Circle",2,0.0078125,"High","N"
4,8,"Circle",3,0.03125,"High","N"
4,8,"Circle",4,0.1015625,"High","N"
4,8,"Circle",5,0.1328125,"High","N"
4,8,"Circle",6,0.1796875,"High","N"
4,8,"Circle",7,0.3125,"High","N"
4,8,"Circle",8,0.234375,"High","N"
4,10,"Circle",1,0,"High","Y"
4,10,"Circle",2,0.0153846153846154,"High","N"
4,10,"Circle",3,0.0461538461538462,"High","N"
4,10,"Circle",4,0.0615384615384615,"High","N"
